google-DirectXShaderCompiler	Building Sources	Note: Instead of building manually, you can download the artifacts built by Appveyor for the latest master branch at  here Before you build, you will need to have some additional software installed
google-DirectXShaderCompiler	Building Sources	This is the most straightforward pathTests are built using the TAEF framework
google-DirectXShaderCompiler	Building Sources	Unless you have the Windows Driver Kit installed, you should run the script at utils\hct\hctgettaef.py from your build environment before you start building to download and unzip it as an external dependency
google-DirectXShaderCompiler	Building Sources	You should only need to do this once.To build, run this command on the HLSL Console.You can also clean, build and run tests with this command.To see a list of additional commands available, run hcthelp
google-DirectXShaderCompiler	Running Tests	To run tests, open the HLSL Console and run this command after a successful build.Some tests will run shaders and verify their behavior
google-DirectXShaderCompiler	Running Tests	These tests also involve a driver that can run these execute these shaders
google-DirectXShaderCompiler	Running Tests	See the next section on how this should be currently set up.
google-DirectXShaderCompiler	Running Shaders	To run shaders compiled as DXIL, you will need support from the operating system as well as from the driver for your graphics adapter
google-DirectXShaderCompiler	Running Shaders	Windows 10 Creators Update is the first version to support DXIL shaders
google-DirectXShaderCompiler	Running Shaders	See the  Wiki  for information on using experimental support or the software adapter.
google-DirectXShaderCompiler	Hardware Support	Hardware GPU support for DXIL is provided by the following vendors:
google-DirectXShaderCompiler	NVIDIA	NVIDIA's r396 drivers  r397.64 and later  provide release mode support for DXIL1.1 and Shader Model 6.1 on Win10 1709 and later, and experimental mode supportfor DXIL 1.2 and Shader Model 6.2 on Win10 1803 and later
google-DirectXShaderCompiler	NVIDIA	These drivers alsosupport DXR in experimental mode.Drivers can be downloaded from  geforce.com 
google-DirectXShaderCompiler	AMD	AMD’s driver  Radeon Software Adrenalin Edition 18.4.1 or later  provides release mode support for DXIL 1.1 and Shader Model 6.Drivers can be downloaded from  AMD's download site 
google-DirectXShaderCompiler	Intel	Intel's 15.60 drivers  15.60.0.4849 and later  support release mode for DXIL 1.0 and Shader Model 6.0 as well asrelease mode for DXIL 1.1 and Shader Model 6.1  View Instancing support only .Drivers can be downloaded from the following link  Intel Graphics Drivers Direct access to 15.60 driver  latest as of of this update  is provided below: Installer  Release Notes related to DXIL 
google-DirectXShaderCompiler	Making Changes	To make contributions, see the  CONTRIBUTING.md  CONTRIBUTING.md  file in this project.
google-DirectXShaderCompiler	Documentation	You can find documentation for this project in the docs directory
google-DirectXShaderCompiler	Documentation	These contain the original LLVM documentation files, as well as two new files worth nothing:DirectX Shader Compiler is distributed under the terms of the University of Illinois Open Source License.See  LICENSE.txt  LICENSE.TXT  and  ThirdPartyNotices.txt  ThirdPartyNotices.txt  for details.
google-DirectXShaderCompiler	Code of Conduct	This project has adopted the  Microsoft Open Source Code of Conduct  For more information see the  Code of Conduct FAQ  or contact  opencode@microsoft.com  mailto:opencode@microsoft.com  with any additional questions or comments.
google-EXEgesis	Goal	Google's EXEgesis project aims to improve code generation in compilers, via: Providing machine-readable lists of instructions for  hardware Inferring latencies and Providing tools for debugging the performance of code based on this data.For a high-level overview of our efforts, see the slides  for a tech talk about EXEgesis  July 2017 .
google-EXEgesis	Details	This repository provides a set of  tools  exegesis/tools/README.md  forextracting data about instructions and latencies from canonical sources andconverting them into machine-readable form
google-EXEgesis	Details	Some require parsing PDF files;others are more straightforward.When latencies and µOps scheduling are not available in the documentation, weauto generate benchmarks to measure them.The output data is available in the form of a  ProtocolBuffer  message  exegesis/proto/microarchitecture.proto .It includes:
google-EXEgesis	What's Next	how to submit a patch.
google-EarlGrey	EarlGrey	 ! Apache License   ! CC-BY 4.0 License     ! Carthage compatible   ! CocoaPods   ! Gem Version  EarlGrey is a native iOS UI automation test framework that enables you to writeclear, concise tests.With the EarlGrey framework, you have access to enhanced synchronizationfeatures
google-EarlGrey	EarlGrey	EarlGrey automatically synchronizes with the UI, network requests,and various queues; but still allows you to manually implement customizedtimings, if needed.EarlGrey’s synchronization features help to ensure that the UI is in a steadystate before actions are performed
google-EarlGrey	EarlGrey	This greatly increases test stability andmakes tests highly repeatable.EarlGrey works in conjunction with the XCTest framework and integrates withXcode’s Test Navigator so you can run tests directly from Xcode or the commandline  using xcodebuild .
google-EarlGrey	Getting Started	The EarlGrey documentation for users is located in the EarlGrey/docs  folder.To get started, review the EarlGrey features, check for backward compatibility,and then install/run EarlGrey with your test target
google-EarlGrey	Getting Started	After everything isconfigured, take a look at the EarlGrey API and start writing your own tests.If you need help, several resources are available
google-EarlGrey	Getting Started	First check the  FAQ If you have more questions after reading the FAQ, see  Known Issues You can bring more specific issues to our attention by asking them on stackoverflow.com  using the  #earlgrey tag You can also start new discussions with us on our  Google group or request to join our  slack channel To prioritize and improve EarlGrey, the framework collects usage data anduploads it to Google Analytics
google-EarlGrey	Getting Started	More specifically, the framework collects the**MD5 hash*information allows us to measure the volume of usage
google-EarlGrey	Getting Started	For more detailedinformation about our analytics collection, please peruse the GREYAnalytics.m file which contains the implementation details
google-EarlGrey	Getting Started	If they wish, users can chooseto opt out by disabling the Analytics config setting in their test’sIn Objective-C:Please make sure you’ve followed the guidelines in CONTRIBUTING.md  before making any contributions.
google-EarlGrey	Setup an EarlGrey Project	using  **setup-earlgrey.sh**   After the script completes successfully, open EarlGrey.xcodeproj and ensure that allthe targets build
google-EarlGrey	Setup an EarlGrey Project	 You can now use EarlGrey.xcodeproj to make changes to the framework.
google-EarlGrey	Unit Tests	To add unit tests for EarlGrey, use Tests/UnitTests
google-EarlGrey	Unit Tests	To run all unit tests, select the **UnitTests*
google-EarlGrey	Functional Tests	To add functional tests for EarlGrey, use the FunctionalTests.xcodeproj locatedat Tests/FunctionalTests
google-EarlGrey	Functional Tests	To run all functional tests, select the **FunctionalTests*
google-ExoPlayer	ExoPlayer #	ExoPlayer is an application level media player for Android
google-ExoPlayer	ExoPlayer #	It provides analternative to Android’s MediaPlayer API for playing audio and video bothlocally and over the Internet
google-ExoPlayer	ExoPlayer #	ExoPlayer supports features not currentlysupported by Android’s MediaPlayer API, including DASH and SmoothStreamingadaptive playbacks
google-ExoPlayer	ExoPlayer #	Unlike the MediaPlayer API, ExoPlayer is easy to customizeand extend, and can be updated through Play Store application updates.
google-ExoPlayer	Documentation ##	 developer guide :  class reference :  release notes :  developer blog : 
google-ExoPlayer	Using ExoPlayer ##	ExoPlayer modules can be obtained from JCenter
google-ExoPlayer	Using ExoPlayer ##	It's also possible to clone therepository and depend on the modules locally.
google-ExoPlayer	From JCenter ###	The easiest way to get started using ExoPlayer is to add it as a gradledependency
google-ExoPlayer	From JCenter ###	You need to make sure you have the JCenter and Google repositoriesincluded in the build.gradle file in the root of your project:following will add a dependency to the full library:the library modules that you actually need
google-ExoPlayer	From JCenter ###	For example the following will adddependencies on the Core, DASH and UI library modules, as might be required foran app that plays DASH content:library is equivalent to adding dependencies on all of the library modulesdepend on external libraries to provide additional functionality
google-ExoPlayer	From JCenter ###	Someextensions are available from JCenter, whereas others must be built manually.Browse the  extensions directory    and their individual READMEs for details.More information on the library and extension modules that are available fromJCenter can be found on  Bintray   
google-ExoPlayer	From JCenter ###	extensions directory :  Bintray : 
google-ExoPlayer	Locally ###	Cloning the repository and depending on the modules locally is required whenusing some ExoPlayer extension modules
google-ExoPlayer	Locally ###	It's also a suitable approach if youwant to make local changes to ExoPlayer, or if you want to use a developmentFirst, clone the repository into a local directory and checkout the desireddepend on them as you would on any other local module, for example:
google-ExoPlayer	Using Android Studio ####	To develop ExoPlayer using Android Studio, simply open the ExoPlayer project inthe root directory of the repository.
google-FluidNet	Limitations of the current system	While this codebase is relatively self-contained and full-featured, **it is not a "ready-to-ship" fluid simluator**
google-FluidNet	Limitations of the current system	Rather it is a proof of concept and research platform only
google-FluidNet	Limitations of the current system	If you are interested in integrating our network into an existing system feel free to reach out  tompson@google.com  and we will do our best to answer your questions.The entire simulation loop is not optimized; however it is fast enough for real-time applications, where good GPU resources are available  i.e
google-FluidNet	Limitations of the current system	NVidia 1080 or Titan .**BOUNDARY HANDLING**Our example boundary condition code is very rudimentary
google-FluidNet	Limitations of the current system	However, we support the same cell types as Manta  in-flow, empty, occupied, etc , so more complicated boundary conditions can be created
google-FluidNet	Limitations of the current system	One potential limitation is that the setWallBcs codepath assumes zero velocity occupiers  like Manta does 
google-FluidNet	Limitations of the current system	However, it would be an easy extension to allows internal occupied voxels to have non-zero velocity.We do not have a real-time 3D fluid render
google-FluidNet	Limitations of the current system	We use an offline render instead
google-FluidNet	Limitations of the current system	For our 2D "renderer", we simply display the RGB density field to screen and visualize the velocity vectors
google-FluidNet	Limitations of the current system	It is very rudimentary
google-FluidNet	Limitations of the current system	Incorporating an open-source 3D fluid render is future work.The only external forces that are supported are vorticity confinement and buoyancy
google-FluidNet	Limitations of the current system	Viscosity and gravity are not supported  but could be added easily .**UNIT TESTING**We have unit tests  including FD gradient checks  for all custom torch modules
google-FluidNet	Limitations of the current system	The two main test scripts we do have are:
google-GL-Shader-Validator	GL Shader Validator	! image This is a  Sublime Text 2 / 3  plugin that passes GLSL / ESSL to ANGLE'spreprocessor / compiler for validation.Any errors that ANGLE finds are routed back to Sublime and the tokens inthe shader are highlighted for your convenience and debugging joy.To see the details of the error check the status message in the bottom left of theSublime view.
google-GL-Shader-Validator	Installation	**You can, and probably should, install GL Shader Validator via  Package Control If you would like to install it manually, clone this repo into your packages folder typically ~/Library/Application Support/Sublime Text 2/Packages .
google-GL-Shader-Validator	Usage	Assuming that you have a  GLSL / ESSL syntax highlighter  installed in Sublime, all you should need to dois install the plugin and your shader code will be validated as expected.It's worth saying that ANGLE expects vertex shaders to have the filesuffix .vert and fragment shaders .frag
google-GL-Shader-Validator	Usage	If you do not name your fileswith that suffix ANGLE  and therefore the plugin  will not be ableto validate your shaders
google-GL-Shader-Validator	Usage	Sadness will ensue.You can set the default specification to use in the settings:This can be overridden in a specific shader by adding comments:
google-GL-Shader-Validator	Permissions	This plugin requires use of a command line utility called essl_to_glsl, which is bundled with the plugin
google-GL-Shader-Validator	Permissions	By default,however, the utility will not have execute permissions
google-GL-Shader-Validator	Permissions	The plugin will attempt to enable those permissions automatically when it loads, butshould that fail you will receive the following error message:> GLShaderValidator: permission denied to use essl_to_glsl commandIn such instances you should enable execute permissions yourself:You can modify the settings file  GLShaderValidator.sublime-settings  insidethe plugin folder
google-GL-Shader-Validator	Permissions	You will find the documentation for the settings inthat file
google-GL-Shader-Validator	Permissions	There aren't many of those right now, but if you want more let usknow via the repo's Issues.
google-GOS-conventions	A convention for Objective-C libraries	The following convention defines a file system structure for a shared Objective-C library.
google-GOS-conventions	Style conventions	GOS libraries use clang-format to automatically clean up stylistic aspects of the source
google-GOS-conventions	Style conventions	Place acopy of  .clang-format  .clang-format  at the root of the library tree.There is a soft  aka: human-enforced  100 character line length limit.
google-GOS-conventions	Jazzy	Your .jazzy.yaml file should contain the following information:
google-GOS-conventions	Travis CI	Your .travis.yml file should contain the following information:for each example app.
google-GOS-conventions	Bootstrap script	The bootstrap script creates the skeletal directory structure for a GOS repo
google-GOS-conventions	Bootstrap script	This script must beprovided a library name and a path.Example usage:
google-GTMAppAuth	GTMAppAuth for iOS and macOS	GTMAppAuth enables you to use  AppAuth with the Google Toolbox for Mac  Google APIs Client Library for Objective-C For REST libraries by providing an implementation of GTMFetcherAuthorizationProtocolfor authorizing requests with AppAuth.GTMAppAuth is an alternative authorizer to GTMOAuthThe key differentiator isthe use of the user's default browser for the authorization, which is moresecure, more usable  the user's session can be reused  and follows modern OAuth best practices for native apps Compatibility methods for GTMOAuth2 are offered allowing you to migratefrom GTMOAuth2 to GTMAppAuth preserving previously serialized authorizations so users shouldn't need to re-authenticate .
google-GTMAppAuth	Setup	If you use  CocoaPods simply add:To your Podfile and run pod install.
google-GTMAppAuth	Configuration	To configure GTMAppAuth with the OAuth endpoints for Google, you can use theconvenience method:NSURL *authorizationEndpoint =NSURL *tokenEndpoint =OIDServiceConfiguration *configuration =// perform the auth request...Or through discovery:NSURL *issuer =  NSURL URLWithString:@"" ; OIDAuthorizationService discoverServiceConfigurationForIssuer:issuer  if  !configuration  {  }} ;
google-GTMAppAuth	Authorizing	First, you need to have a way for your UIApplicationDelegate to continue theauthorization flow session from the incoming redirect URI
google-GTMAppAuth	Authorizing	Typically you couldstore the in-progress OIDAuthorizationFlowSession instance in a property:property to store the authorization state:authStateByPresentingAuthorizationRequest method, the OAuth tokenexchange will be performed automatically, and everything will be protected withPKCE  if the server supports it .// builds authentication requestOIDAuthorizationRequest *request =// performs authentication requestself.appDelegate.currentAuthorizationFlow =  if  authState  {  } else {  }} ;
google-GTMAppAuth	Handling the Redirect	The authorization response URL is returned to the app via the platform-specificapplication delegate method, so you need to pipe this through to the currentauthorization session  created in the previous session .
google-GTMAppAuth	macOS Custom URI Scheme Redirect Example	  NSAppleEventManager *appleEventManager =   appleEventManager setEventHandler:self  NSString *URLString =   event paramDescriptorForKeyword:keyDirectObject  stringValue ;  NSURL *URL =  NSURL URLWithString:URLString ;   _currentAuthorizationFlow resumeAuthorizationFlowWithURL:URL ;
google-GTMAppAuth	iOS Custom URI Scheme Redirect Example	  // Sends the URL to the current authorization flow  if any  which will  // process it if it relates to an authorization response
google-GTMAppAuth	iOS Custom URI Scheme Redirect Example	 if   _currentAuthorizationFlow resumeAuthorizationFlowWithURL:url   {  }
google-GTMAppAuth	Making API Calls	The goal of GTMAppAuth is to enable you to authorize HTTP requests with freshtokens following the Session Fetcher pattern, which you can do like so:// Creates a GTMSessionFetcherService with the authorization.// Normally you would save this service object and re-use it for all REST API calls.GTMSessionFetcherService *fetcherService =   GTMSessionFetcherService alloc  init ;fetcherService.authorizer = self.authorization;// Creates a fetcher for the API call.NSURL *userinfoEndpoint =  NSURL URLWithString:@"" ;GTMSessionFetcher *fetcher =  fetcherService fetcherWithURL:userinfoEndpoint ; fetcher beginFetchWithCompletionHandler:^ NSData *data, NSError *error  {  // Checks for an error
google-GTMAppAuth	Making API Calls	 if  error  {  }  NSError *jsonError = nil;  id jsonDictionaryOrArray =  if  jsonError  {  }  NSLog @"Success: %@", jsonDictionaryOrArray ;} ;
google-GTMAppAuth	Serialization	The serialization format is different between GTMOAuth2 and GTMAppAuth, thoughwe have methods to help you migrate from one to the other without losing any
google-GTMAppAuth	GTMOAuth2-compatible Serialization	To assist the migration from GTMOAuth2 to GTMAppAuth, GTMOAuth2-compatibleserialization methods are provided in GTMOAuth2KeychainCompatibility.// Deserialize from KeychainGTMAppAuthFetcherAuthorization *auth =// Remove from Keychain GTMOAuth2KeychainCompatibility removeAuthFromKeychainForName:kKeychainItemName ;You can also serialize to GTMOAuth2 format, though this is discouraged  youshould serialize in GTMAppAuth format as described above .Try out one of the included samples Example-Mac and Example-iOS
google-GTMAppAuth	GTMOAuth2-compatible Serialization	In thefolder run pod install, then open the xcworkspace file.Be sure to follow the instructions in Example-iOS/README.md  Example-iOS/README.md  or Example-macOS/README.md  Example-macOS/README.md  to configure your own OAuthclient ID for use with the example.
google-GTMAppAuth	Authorization Method	GTMAppAuth uses the browser to present the authorization request, whileGTMOAuth2 uses an embedded web-view
google-GTMAppAuth	Authorization Method	Migrating to GTMAppAuth will require youto change how you authorize the user
google-GTMAppAuth	Authorization Method	Follow the instructions above to get theauthorization
google-GTMAppAuth	Authorization Method	 You can then create a GTMAppAuthFetcherAuthorization objectwith the initWithAuthState:authState initializer.Once you have the GTMAppAuthFetcherAuthorization you can continue to make RESTcalls as before.
google-GTMAppAuth	Error Handling	GTMAppAuth's error handling is also different
google-GTMAppAuth	Error Handling	There are no notifications,instead you need to inspect NSError in the callback
google-GTMAppAuth	Error Handling	If the error domain isOIDOAuthTokenErrorDomain, it indicates an authorization error, you shouldclear your authorization state and consider prompting the user to authorizeagain
google-GTMAppAuth	Error Handling	 Other errors are generally considered transient, meaning that you shouldretry the request after a delay.
google-GTMAppAuth	OAuth Client Registration	Typically, GTMOAuth2 clients are registered with Google as type "Other"
google-GTMAppAuth	OAuth Client Registration	This iscorrect for macOS, but on iOS clients should be registered with the type "iOS".If you're migrating an iOS client, in the *same project as your existing client*, register a new iOS client to be used with GTMAppAuth.
google-GTMAppAuth	Changing your Authorization Flows	Both GTMOAuth2 and GTMAppAuth support the id authorization
google-GTMAppAuth	Changing your Authorization Flows	 This allows you to switchthe authorization implementation under the hood to GTMAppAuth.Then, follow the instructions above to replace authorization request where you ask the user to grant access  with the GTMAppAuth approach
google-GTMAppAuth	Changing your Authorization Flows	If youcreated a new OAuth client, use that for these requests.
google-GTMAppAuth	Serialization & Migrating Existing Grants	GTMAppAuth has a new data format and APIs for serialization
google-GTMAppAuth	Serialization & Migrating Existing Grants	UnlikeGTMOAuth2, GTMAppAuth serializes the configuration and history of theauthorization, including the client id, and a record of the authorizationrequest that resulted in the authorization grant.The client ID used for GTMAppAuth is  different  #oauth-client-registration  tothe one used for GTMOAuthIn order to keep track of the different client idsused for new and old grants, it's recommended to migrate to the newserialization format, which will store that for you
google-GTMAppAuth	Serialization & Migrating Existing Grants	 GTMOAuth2-compatible serialization  #gtmoauth2-compatible-serialization  isalso offered, but not fully supported.Change how you serialize your authorization object using the new methodsusing the following example.For deserializing, we can preserve all existing grants  so users who authorizedyour app in GTMOAuth2 don't have to authorize it again 
google-GTMAppAuth	Serialization & Migrating Existing Grants	Remember that whendeserializing the *oldthe old client id and client secret  if those changed , and that when serializing to the *newOnce again, pay particular care to use the old details when deserializing theGTMOAuth2 keychain, and the new details for all other GTMAppAuth calls.Keychain migration example:// Attempt to deserialize from Keychain in GTMAppAuth format.id authorization =// If no data found in the new format, try to deserialize data from GTMOAuth2if  !authorization  {  // Tries to load the data serialized by GTMOAuth2 using old keychain name
google-GTMAppAuth	Serialization & Migrating Existing Grants	 // If you created a new client id, be sure to use the *previous  authorization =  if  authorization  {  }
google-GTXiLib	What is GTXiLib?	GTXiLib, Google Toolbox for Accessibility for the iOS platform or simply GTX-eyeis a framework for iOS accessibility testing
google-GTXiLib	What is GTXiLib?	GTXiLib has XCTest integration andcan be used with any XCTest based frameworks such as EarlGrey  GTXiLib enhances the value ofyour tests by installing "accessibility checks" on them, your existing testcases can double as accessibility tests with no other code change on your part.GTXiLib is able to accomplish this by hooking into the test tear down processand invoking the registered accessibility checks  such as check for presence ofaccessibility label  on all elements on the screen.
google-GTXiLib	Getting Started	To install GTXiLib on all the tests of a specific test class add the followingsnippet of code to it.// Include the GTXiLib umbrella header.
google-GTXiLib	#import 	// Note that that is +setUp not -setUp+  void setUp {   super setUp ;  NSArray *checksToBeInstalled = @    ;   GTXiLib installOnTestSuite: GTXTestSuite suiteWithAllTestsInClass:self Once installed, GTX will run all registered accessibility checks before testcase tearDown and fail the test if any accessibility checks fail
google-GTXiLib	#import 	With the abovesnippet of code your tests will now begin to catch issues where you have addedUI elements to your app but forgot to set accessibility labels on them.In the above snippet we have only installed checkForAXLabelPresent, but youcan also install multiple checks from GTXChecksCollection or include your owncustom checks as well:// Inside +setUp ...// Create a new check  for example that ensures that all AX label is not an image name id myNewCheck =  } ;// Create an array of checks to be installed.NSArray *checksToBeInstalled = @  ;// Install GTX on all tests in *this GTXiLib installOnTestSuite: GTXTestSuite suiteWithAllTestsInClass:self Note that GTX is being added to -setUp since GTX must only be installed once  for a given test run .To add GTXiLib to your project use the xcodeproj file in this project or cocoapods 
google-GTXiLib	Incremental Accessibility	GTXiLib APIs support a practical solution for improving accessibility of largeprojects which may not have included accessibility from the get go accessibility
google-GTXiLib	Incremental Accessibility	Adding GTXiLib to a project that is already halfway throughdevelopment may leads to several test failures and fixing them at once can betime consuming and tedious
google-GTXiLib	Incremental Accessibility	To solve this problem incrementally:+ Use above snippet to add GTXiLib to all test cases but fix errors in a small  subset of them
google-GTXiLib	Incremental Accessibility	 + Blacklist elements that you don't control using GTXiLib's blacklist APIs.+ Then use GTXTestSuite's suiteWithClass:andTests: method to  create a test suite with only the tests cases that have been fixed and add  GTXiLib only to that suite.Once the code is checked into your repo GTXiLib will catch any new failures inthose tests
google-GTXiLib	Incremental Accessibility	From this point:+ Every new test being added must be added it to the suite.+ Based on team priorities keep moving existing tests into the suite until all  methods are in the suite.If at any point all the tests of a test class are in the suite usesuiteWithAllTestsInClass: method instead of listing all the methods, this alsoensures that new methods added to the class are automatically underaccessibility checking.If GTXiLib is installed on every test in your project, usesuiteWithAllTestsFromAllClassesInheritedFromClass: to automatically addaccessibility checking to any test case added.
google-GTXiLib	Authoring your own checks	GTXiLib has APIs that allow for creation of your own accessibility checks  in factit does not have to be related to accessibility, for example i18n layout checksor even memory usage checks 
google-GTXiLib	Authoring your own checks	To create new checks use checkWithName:block: API and provide a unique name and block that evaluatesthe check and returns YES/NO for success/failure
google-GTXiLib	Authoring your own checks	Add the newly created checkto the array of checks being passed on to GTXiLib via the install API call.
google-GTXiLib	Dealing with GTXiLib Failures	When GTXiLib fails it has most likely found an accessibility bug and you must fixit
google-GTXiLib	Dealing with GTXiLib Failures	But due to various team priorities it may not be possible to do so rightaway in which case you have the following options at your disposal:+ Temporarily blacklist the test case by using  suiteWithAllTestsInClass:exceptTests:.+ Temporarily blacklist the offending element using element blacklist APIsBut if you believe GTXiLib has caught a bug that is not an accessibility issueplease let us know by  filing a bug or better  fix it for everyone.
google-GTXiLib	Integrating GTXiLib into custom test frameworks	If you are test *frameworkaccessibility checking into your test framework
google-GTXiLib	Integrating GTXiLib into custom test frameworks	GTXiLib's own XCTestintegration is also built using the APIs provided by GTXToolKit
